Consumption_Country	Threatened_Animalia	Threatened_Plantae	Unique_Threatened_Species	Total_Threats	proportion imported foorprint	Threatened_Animalia	Threatened_Plantae	Unique_Threatened_Species	Total_Threats	Population	Threat per capita	imported threats per capita
Italy	3254	694	3960	2184	0.2	2840	562	3410	402.3	60551416	3.60685E-05	6.64394E-06
Mexico	3789	1020	4809	4537.8	0	2617	475	3092	117.2	129163276	3.51323E-05	9.07379E-07
France	3977	1238	5225	2349	0.2	3528	1146	4680	478.3	67118648	3.49977E-05	7.12619E-06
Angola	737	98	835	1041.1	0.1	275	25	300	60.5	29784193	3.49548E-05	2.03128E-06
Mali	311	54	365	648	0	15	3	18	0.2	18541980	3.49477E-05	1.07863E-08
Tajikistan	160	16	176	304.2	0	4	0	4	0.1	8921343	3.4098E-05	1.12091E-08
Malawi	460	55	515	621.4	0	45	5	50	1.5	18622104	3.33689E-05	8.05494E-08
USA	8269	2398	10697	10678.1	0.3	6776	1798	8595	2789.8	325719178	3.27831E-05	8.56505E-06
Chad	265	25	290	480.4	0	0	0	0	0	14899994	3.22416E-05	0
Uganda	1031	102	1133	1381.7	0	377	12	389	54.4	42862958	3.22353E-05	1.26916E-06
Morocco	699	145	845	1133.3	0	72	1	73	1	35739580	3.17099E-05	2.79802E-08
Argentina	730	182	912	1402.4	0	192	31	223	11.7	44271041	3.16776E-05	2.64281E-07
Iraq	633	21	654	1199.5	0	475	6	481	15.8	38274618	3.13393E-05	4.12806E-07
Turkey	1166	203	1370	2431.1	0	614	68	682	98.8	80745020	3.01084E-05	1.2236E-06
Egypt	1082	59	1141	2766.9	0	550	25	575	19.4	97553151	2.8363E-05	1.98866E-07
Burkina Faso	254	39	293	533.3	0	6	0	6	0.1	19193382	2.77856E-05	5.21013E-09
Zimbabwe	387	40	427	457.6	0	1	0	1	0	16529904	2.76832E-05	0
Nepal	380	66	446	809.4	0	38	12	50	1.2	29304998	2.76199E-05	4.09486E-08
Indonesia	2659	323	2982	7213.7	0	1021	20	1041	96.2	263991379	2.73255E-05	3.64406E-07
South Korea	2791	321	3114	1321	0.3	2620	265	2886	424.6	51466201	2.56673E-05	8.25007E-06
Uzbekistan	213	32	245	812.1	0	82	3	85	3	32387200	2.50747E-05	9.26292E-08
Niger	242	28	270	532.4	0	1	0	1	0	21477348	2.47889E-05	0
Poland	556	129	692	864.7	0	408	93	504	27.2	37975841	2.27697E-05	7.16245E-07
Russia	1573	340	1921	3276.6	0.2	1237	247	1488	642.3	144495044	2.26762E-05	4.44514E-06
Ukraine	579	153	734	1000.8	0	295	78	374	17.2	44831159	2.23238E-05	3.83662E-07
Algeria	531	102	633	902	0	44	0	44	0.7	41318142	2.18306E-05	1.69417E-08
DR Congo	1307	172	1479	1662.4	0	375	22	397	18.8	81339988	2.04377E-05	2.31129E-07
Germany	4949	1213	6173	1633.6	0.5	4871	1201	6080	753.9	82695000	1.97545E-05	9.11663E-06
North Korea	306	45	351	487	0	0	0	0	0	25490965	1.91048E-05	0
Brazil	2400	783	3183	3241.5	0.1	1255	267	1522	422.9	209288278	1.54882E-05	2.02066E-06
Afghanistan	195	27	222	476.3	0	6	0	6	0.1	35530081	1.34055E-05	2.81452E-09
UK	1635	175	1817	762.6	0.3	1256	121	1377	203	66022273	1.15506E-05	3.07472E-06
Nigeria	955	269	1224	1628.6	0	251	14	265	14.4	190886311	8.53178E-06	7.54376E-08
India	3224	520	3744	10285.4	0	1536	85	1621	276.9	1339180127	7.68037E-06	2.06768E-07
Pakistan	559	48	607	1449.3	0	11	1	12	0.1	197015955	7.35626E-06	5.07573E-10
Bangladesh	474	84	558	1106.1	0	20	1	21	0.3	164669751	6.71708E-06	1.82183E-09
China	8950	1941	10896	5701.1	0.4	8299	1581	9885	2157.7	1386395000	4.11218E-06	1.55634E-06
Ethiopia	440	92	532	187.7	0	0	0	0	0	104957438	1.78834E-06	0
Belarus	180	36	217	11.9	0	0	0	0	0	9507875	1.25159E-06	0
Cayman Islands	0	0	0	0	0	0	0	0	0	61559	0	0
Netherlands Antilles	0	0	0	0	0	0	0	0	0	227049	0	0
