global_rank	consumption_country	finalsale_country	finalsale_industry	ANIMALIA	PLANTAE	aggregated_finalsale_threat_intensity	finalsale_threat_intensity_proportion	attributed_threat_intensity
377	Mozambique	Mozambique	Electricity, Gas and Water	343	4	137.750473126769	0.999353982010128	137.661483843016
378	Antigua	Antigua	Construction	148	23	139.127793304622	0.988529019642128	137.531861120391
379	Libya	Libya	Education, Health and Other Services	264	25	135.405513122678	1	135.405513122678
380	South Africa	South Africa	Transport services	379	31	162.218166470528	0.8325722101292	135.058337381474
381	Malawi	Malawi	Education, Health and Other Services	212	22	134.109948173165	1	134.109948173165
382	Peru	Peru	Transport service and Communications	493	50	137.496956139803	0.969804246618947	133.34513196156
383	Montenegro	Montenegro	Construction	228	42	133.376747198403	0.997752649493772	133.077002898067
384	USA	USA	Logging 	625	41	135.832922756672	0.979090881407471	132.992776065983
385	Brazil	Brazil	Passenger transport	340	117	136.449138455093	0.972994842552947	132.764307987598
386	Netherlands	Netherlands	Construction work	106	26	134.286953091621	0.988588688134171	132.754562790381
387	Thailand	Thailand	Non-Residential Building Construction	725	18	131.950072690845	0.999237633924246	131.849478431732
388	Fiji	Fiji	Electricity, Gas and Water	418	0	131.271369487047	1	131.271369487047
389	Senegal	Senegal	Construction	233	38	131.015063636005	1	131.015063636005
390	Central African Republic	Central African Republic	Education, Health and Other Services	229	26	130.910844385624	1	130.910844385624
391	Uzbekistan	Uzbekistan	Agricultural Service	142	24	134.048090085387	0.97568915982501	130.789268391559
392	Congo	Congo	Education, Health and Other Services	249	37	135.311593927443	0.966371283378168	130.761238679609
393	Niger	Niger	Food & Beverages	149	16	130.060930922627	0.998250622955648	129.833405315704
394	Armenia	Armenia	Construction	178	64	129.593271099031	0.999222253444234	129.492480378783
395	Albania	Albania	Education, Health and Other Services	185	40	129.416989155114	1	129.416989155114
396	Tanzania	Tanzania	Transport	501	45	138.831791363657	0.931297092058617	129.293643582262
397	Mauritius	Mauritius	Electricity distribution services, gas and water distribution services through mains 	321	1	128.99923568964	1	128.99923568964
398	Hong Kong	Hong Kong	construction	143	21	130.065207287669	0.989560170450035	128.707348693205
399	Finland	Finland	Construction work	148	28	128.987766243517	0.99257097061699	128.029512338045
400	Bangladesh	Bangladesh	Food & Beverages	241	14	131.205545328557	0.974243706617651	127.826176809684
401	Canada	Canada	Public admin. & defence, compulsory social security	418	59	126.952327005565	1	126.952327005565
402	Japan	Japan	Silviculture	231	47	126.269295036793	1	126.269295036793
403	Thailand	Thailand	Salt Evaporation	576	2	126.090766176581	0.998122595984957	125.854042865902
404	Belgium	Belgium	Construction work	111	26	127.509188689291	0.985752144336189	125.692456173037
405	Mauritius	Mauritius	Fish and other fishing products 	405	72	126.792170196772	0.989792273666741	125.497910422203
406	Madagascar	Madagascar	Electricity, Gas and Water	353	2	125.363454014063	1	125.363454014063
407	Colombia	Colombia	Construction and civil construction, equipment leasing (including operator)	441	107	125.34718246758	1	125.34718246758
408	Indonesia	Indonesia	Food crops	310	50	127.938899472356	0.97938312314179	125.301198936559
409	Norway	Norway	Construction work	95	28	125.494122512639	0.997969050343519	125.239250267631
410	Russia	Russia	Other community, social & personal services	249	62	125.258504532278	0.998898004571817	125.120470232942
411	Sri Lanka	Sri Lanka	Electricity, Gas and Water	304	1	124.957808196545	1	124.957808196545
412	Australia	Australia	Aquaculture	1127	148	249.418034024537	0.500850695664842	124.921195852546
413	USA	USA	Fruit farming	937	63	176.896018519998	0.703609114372319	124.465650926845
414	Sierra Leone	Sierra Leone	Food & Beverages	201	48	128.212524555624	0.959473503438402	123.016520120066
415	Viet Nam	Viet Nam	Education and training	726	60	124.14308694005	0.987455164165711	122.585732294425
416	Burkina Faso	Burkina Faso	Food & Beverages	152	25	123.288860917091	0.994214614642903	122.575587346448
417	India	India	Hotels and restaurants	613	14	134.302811212838	0.91008244343953	122.226630589377
418	Kazakhstan	Kazakhstan	Forestry	206	16	122.175246715546	1	122.175246715546
419	Tunisia	Tunisia	Construction	181	54	122.12231695652	1	122.12231695652
420	Poland	Poland	Food products and beverages	200	68	131.423493072391	0.926868195505113	121.812255870985
421	Ireland	Ireland	Construction work	106	20	123.820006489754	0.983551180772516	121.783313586258
422	British Virgin Islands	British Virgin Islands	Construction	146	32	144.219518780708	0.843357368970506	121.628593913091
423	Lithuania	Lithuania	Fish and other fishing products, services incidental of fishing	97	23	123.144342765212	0.984714806688339	121.262057680808
424	Bosnia and Herzegovina	Bosnia and Herzegovina	Construction	196	35	121.196535483003	1	121.196535483003
425	Bulgaria	Bulgaria	Food & Beverages	310	81	178.398257724941	0.678779803145449	121.093134260026
426	Guyana	Guyana	Construction	157	40	120.866057574749	1	120.866057574749
427	Sweden	Sweden	Construction work	112	36	122.079147443175	0.982346897086852	119.924071689812
428	Suriname	Suriname	Construction	134	27	119.913818918169	0.997310691699588	119.591333689618
429	Peru	Peru	Agricultural, Hunting and Forestry products	177	47	126.36207228899	0.944262132929191	119.318919900954
430	Lebanon	Lebanon	Food & Beverages	199	19	140.869097694755	0.846949425402045	119.309001349477
431	Nepal	Nepal	Food & Beverages	225	15	162.72765879333	0.731976873463381	119.112882909558
432	Latvia	Latvia	Construction work	108	21	119.360279276967	0.997604925223449	119.074402482749
433	Barbados	Barbados	Construction	141	19	120.631339110434	0.987006320216663	119.063894118198
434	Gaza Strip	Gaza Strip	Food & Beverages	114	15	120.228093147278	0.989933328259928	119.017796399629
435	Philippines	Philippines	Other food products	981	47	123.59923094511	0.957499469053816	118.346198005403
436	Sierra Leone	Sierra Leone	Hotels and Restraurants	292	57	119.107744731009	0.990977896897755	118.03314237777
437	Benin	Benin	Construction	185	29	117.874169498682	0.99784771716311	117.620470946757
438	North Korea	North Korea	Education, Health and Other Services	127	20	117.272142499685	1	117.272142499685
439	Saudi Arabia	Saudi Arabia	Public Administration	628	11	117.257007449865	1	117.257007449865
440	Spain	Morocco	Fishing	221	50	157.357383459806	0.744170533697456	117.100728030519
441	Suriname	Suriname	Education, Health and Other Services	123	22	116.97926017642	1	116.97926017642
442	Uruguay	Uruguay	Services rendered to companies	280	41	122.626730360091	0.95162595152288	116.694778961061
443	Lithuania	Lithuania	Construction work	103	21	117.286178104579	0.982016867269659	115.17700519629
444	Botswana	Botswana	Food & Beverages	184	11	119.459401965141	0.947913741158153	113.237208633293
